,Period,Province,Product,Quantity
251,201701,MANİSA,PRODUCT_B,8422
252,201701,MANİSA,PRODUCT_C,928
253,201701,MANİSA,PRODUCT_V,641
254,201701,MANİSA,PRODUCT_X,544
255,201701,MARDIN,PRODUCT_A,63
256,201701,MARDIN,PRODUCT_B,838
257,201701,MARDIN,PRODUCT_C,324
258,201701,MARDIN,PRODUCT_V,0
259,201701,MARDIN,PRODUCT_X,240
260,201701,MUĞLA,PRODUCT_A,159
261,201701,MUĞLA,PRODUCT_B,1431
262,201701,MUĞLA,PRODUCT_C,623
263,201701,MUĞLA,PRODUCT_V,47
264,201701,MUĞLA,PRODUCT_X,378
265,201701,MUŞ,PRODUCT_A,7
266,201701,MUŞ,PRODUCT_B,26
267,201701,MUŞ,PRODUCT_C,137
268,201701,MUŞ,PRODUCT_V,0
269,201701,MUŞ,PRODUCT_X,111
270,201701,NEVŞEHİR,PRODUCT_A,13
271,201701,NEVŞEHİR,PRODUCT_B,169
272,201701,NEVŞEHİR,PRODUCT_C,124
273,201701,NEVŞEHİR,PRODUCT_V,0
274,201701,NEVŞEHİR,PRODUCT_X,78
275,201701,NİĞDE,PRODUCT_A,20
276,201701,NİĞDE,PRODUCT_B,571
277,201701,NİĞDE,PRODUCT_C,152
278,201701,NİĞDE,PRODUCT_V,0
279,201701,NİĞDE,PRODUCT_X,32
280,201701,ORDU,PRODUCT_A,190
281,201701,ORDU,PRODUCT_B,1683
282,201701,ORDU,PRODUCT_C,349
283,201701,ORDU,PRODUCT_V,0
284,201701,ORDU,PRODUCT_X,83
285,201701,OSMANİYE,PRODUCT_A,91
286,201701,OSMANİYE,PRODUCT_B,1285
287,201701,OSMANİYE,PRODUCT_C,433
288,201701,OSMANİYE,PRODUCT_V,0
289,201701,OSMANİYE,PRODUCT_X,176
290,201701,RİZE,PRODUCT_A,33
291,201701,RİZE,PRODUCT_B,74
292,201701,RİZE,PRODUCT_C,241
293,201701,RİZE,PRODUCT_V,4
294,201701,RİZE,PRODUCT_X,86
295,201701,SAKARYA,PRODUCT_A,137
296,201701,SAKARYA,PRODUCT_B,1399
297,201701,SAKARYA,PRODUCT_C,630
298,201701,SAKARYA,PRODUCT_V,12
299,201701,SAKARYA,PRODUCT_X,364
300,201701,SAMSUN,PRODUCT_A,149
301,201701,SAMSUN,PRODUCT_B,2167
302,201701,SAMSUN,PRODUCT_C,711
303,201701,SAMSUN,PRODUCT_V,6
304,201701,SAMSUN,PRODUCT_X,440
305,201701,SİNOP,PRODUCT_A,20
306,201701,SİNOP,PRODUCT_B,103
307,201701,SİNOP,PRODUCT_C,88
308,201701,SİNOP,PRODUCT_V,0
309,201701,SİNOP,PRODUCT_X,9
310,201701,SİVAS,PRODUCT_A,18
311,201701,SİVAS,PRODUCT_B,2068
312,201701,SİVAS,PRODUCT_C,138
313,201701,SİVAS,PRODUCT_V,0
314,201701,SİVAS,PRODUCT_X,31
315,201701,SİİRT,PRODUCT_A,3
316,201701,SİİRT,PRODUCT_B,4
317,201701,SİİRT,PRODUCT_C,214
318,201701,SİİRT,PRODUCT_V,0
319,201701,SİİRT,PRODUCT_X,5
320,201701,TEKİRDAĞ,PRODUCT_A,170
321,201701,TEKİRDAĞ,PRODUCT_B,1388
322,201701,TEKİRDAĞ,PRODUCT_C,679
323,201701,TEKİRDAĞ,PRODUCT_V,21
324,201701,TEKİRDAĞ,PRODUCT_X,207
325,201701,TOKAT,PRODUCT_A,101
326,201701,TOKAT,PRODUCT_B,500
327,201701,TOKAT,PRODUCT_C,128
328,201701,TOKAT,PRODUCT_V,0
329,201701,TOKAT,PRODUCT_X,90
330,201701,TRABZON,PRODUCT_A,196
331,201701,TRABZON,PRODUCT_B,1697
332,201701,TRABZON,PRODUCT_C,311
333,201701,TRABZON,PRODUCT_V,2
334,201701,TRABZON,PRODUCT_X,241
335,201701,TUNCELİ,PRODUCT_A,0
336,201701,TUNCELİ,PRODUCT_B,17
337,201701,TUNCELİ,PRODUCT_C,35
338,201701,TUNCELİ,PRODUCT_V,0
339,201701,TUNCELİ,PRODUCT_X,5
340,201701,UŞAK,PRODUCT_A,88
341,201701,UŞAK,PRODUCT_B,387
342,201701,UŞAK,PRODUCT_C,244
343,201701,UŞAK,PRODUCT_V,8
344,201701,UŞAK,PRODUCT_X,103
345,201701,VAN,PRODUCT_A,13
346,201701,VAN,PRODUCT_B,315
347,201701,VAN,PRODUCT_C,561
348,201701,VAN,PRODUCT_V,0
349,201701,VAN,PRODUCT_X,162
350,201701,YALOVA,PRODUCT_A,71
351,201701,YALOVA,PRODUCT_B,121
352,201701,YALOVA,PRODUCT_C,163
353,201701,YALOVA,PRODUCT_V,5
354,201701,YALOVA,PRODUCT_X,101
355,201701,YOZGAT,PRODUCT_A,29
356,201701,YOZGAT,PRODUCT_B,765
357,201701,YOZGAT,PRODUCT_C,244
358,201701,YOZGAT,PRODUCT_V,2
359,201701,YOZGAT,PRODUCT_X,75
360,201701,ZONGULDAK,PRODUCT_A,96
361,201701,ZONGULDAK,PRODUCT_B,1904
362,201701,ZONGULDAK,PRODUCT_C,542
363,201701,ZONGULDAK,PRODUCT_V,8
364,201701,ZONGULDAK,PRODUCT_X,541
365,201701,ÇANAKKKALE,PRODUCT_A,18
366,201701,ÇANAKKKALE,PRODUCT_B,1767
367,201701,ÇANAKKKALE,PRODUCT_C,258
368,201701,ÇANAKKKALE,PRODUCT_V,7
369,201701,ÇANAKKKALE,PRODUCT_X,176
370,201701,ÇANKIRI,PRODUCT_A,15
371,201701,ÇANKIRI,PRODUCT_B,244
372,201701,ÇANKIRI,PRODUCT_C,115
373,201701,ÇANKIRI,PRODUCT_V,2
374,201701,ÇANKIRI,PRODUCT_X,33
375,201701,ÇORUM,PRODUCT_A,82
376,201701,ÇORUM,PRODUCT_B,122
377,201701,ÇORUM,PRODUCT_C,287
378,201701,ÇORUM,PRODUCT_V,0
379,201701,ÇORUM,PRODUCT_X,54
380,201701,İSTANBUL,PRODUCT_A,3506
381,201701,İSTANBUL,PRODUCT_B,32867
382,201701,İSTANBUL,PRODUCT_C,16318
383,201701,İSTANBUL,PRODUCT_V,1794
384,201701,İSTANBUL,PRODUCT_X,2701
385,201701,İZMİR,PRODUCT_A,782
386,201701,İZMİR,PRODUCT_B,9458
387,201701,İZMİR,PRODUCT_C,3128
388,201701,İZMİR,PRODUCT_V,565
389,201701,İZMİR,PRODUCT_X,1008
390,201701,İÇEL,PRODUCT_A,236
391,201701,İÇEL,PRODUCT_B,3968
392,201701,İÇEL,PRODUCT_C,722
393,201701,İÇEL,PRODUCT_V,16
394,201701,İÇEL,PRODUCT_X,417
395,201701,ŞANLIURFA,PRODUCT_A,28
396,201701,ŞANLIURFA,PRODUCT_B,656
397,201701,ŞANLIURFA,PRODUCT_C,776
398,201701,ŞANLIURFA,PRODUCT_V,3
399,201701,ŞANLIURFA,PRODUCT_X,460
400,201701,ŞIRNAK,PRODUCT_A,10
401,201701,ŞIRNAK,PRODUCT_B,392
402,201701,ŞIRNAK,PRODUCT_C,283
403,201701,ŞIRNAK,PRODUCT_V,0
404,201701,ŞIRNAK,PRODUCT_X,26
405,201702,ADANA,PRODUCT_A,402
406,201702,ADANA,PRODUCT_B,5275
407,201702,ADANA,PRODUCT_C,960
408,201702,ADANA,PRODUCT_V,98
409,201702,ADANA,PRODUCT_X,915
410,201702,ADIYAMAN,PRODUCT_A,38
411,201702,ADIYAMAN,PRODUCT_B,39
412,201702,ADIYAMAN,PRODUCT_C,250
413,201702,ADIYAMAN,PRODUCT_V,0
414,201702,ADIYAMAN,PRODUCT_X,35
415,201702,AFYON,PRODUCT_A,56
416,201702,AFYON,PRODUCT_B,1972
417,201702,AFYON,PRODUCT_C,459
418,201702,AFYON,PRODUCT_V,-26
419,201702,AFYON,PRODUCT_X,186
420,201702,AKSARAY,PRODUCT_A,19
421,201702,AKSARAY,PRODUCT_B,1690
422,201702,AKSARAY,PRODUCT_C,166
423,201702,AKSARAY,PRODUCT_V,0
424,201702,AKSARAY,PRODUCT_X,79
425,201702,AMASYA,PRODUCT_A,38
426,201702,AMASYA,PRODUCT_B,404
427,201702,AMASYA,PRODUCT_C,173
428,201702,AMASYA,PRODUCT_V,2
429,201702,AMASYA,PRODUCT_X,172
430,201702,ANKARA,PRODUCT_A,1644
431,201702,ANKARA,PRODUCT_B,6320
432,201702,ANKARA,PRODUCT_C,3053
433,201702,ANKARA,PRODUCT_V,822
434,201702,ANKARA,PRODUCT_X,1203
435,201702,ANTALYA,PRODUCT_A,513
436,201702,ANTALYA,PRODUCT_B,5877
437,201702,ANTALYA,PRODUCT_C,1270
438,201702,ANTALYA,PRODUCT_V,1571
439,201702,ANTALYA,PRODUCT_X,515
440,201702,ARDAHAN,PRODUCT_A,7
441,201702,ARDAHAN,PRODUCT_B,3
442,201702,ARDAHAN,PRODUCT_C,21
443,201702,ARDAHAN,PRODUCT_V,0
444,201702,ARDAHAN,PRODUCT_X,5
445,201702,ARTVİN,PRODUCT_A,15
446,201702,ARTVİN,PRODUCT_B,26
447,201702,ARTVİN,PRODUCT_C,66
448,201702,ARTVİN,PRODUCT_V,0
449,201702,ARTVİN,PRODUCT_X,36
450,201702,AYDIN,PRODUCT_A,226
451,201702,AYDIN,PRODUCT_B,3956
452,201702,AYDIN,PRODUCT_C,457
453,201702,AYDIN,PRODUCT_V,176
454,201702,AYDIN,PRODUCT_X,658
455,201702,AĞRI,PRODUCT_A,4
456,201702,AĞRI,PRODUCT_B,1241
457,201702,AĞRI,PRODUCT_C,559
458,201702,AĞRI,PRODUCT_V,0
459,201702,AĞRI,PRODUCT_X,125
460,201702,BALIKESİR,PRODUCT_A,191
461,201702,BALIKESİR,PRODUCT_B,5205
462,201702,BALIKESİR,PRODUCT_C,631
463,201702,BALIKESİR,PRODUCT_V,356
464,201702,BALIKESİR,PRODUCT_X,393
465,201702,BARTIN,PRODUCT_A,9
466,201702,BARTIN,PRODUCT_B,801
467,201702,BARTIN,PRODUCT_C,116
468,201702,BARTIN,PRODUCT_V,2
469,201702,BARTIN,PRODUCT_X,123
470,201702,BATMAN,PRODUCT_A,43
471,201702,BATMAN,PRODUCT_B,187
472,201702,BATMAN,PRODUCT_C,226
473,201702,BATMAN,PRODUCT_V,0
474,201702,BATMAN,PRODUCT_X,25
475,201702,BAYBURT,PRODUCT_A,10
476,201702,BAYBURT,PRODUCT_B,58
477,201702,BAYBURT,PRODUCT_C,35
478,201702,BAYBURT,PRODUCT_V,0
479,201702,BAYBURT,PRODUCT_X,13
480,201702,BINGOL,PRODUCT_A,6
481,201702,BINGOL,PRODUCT_B,116
482,201702,BINGOL,PRODUCT_C,102
483,201702,BINGOL,PRODUCT_V,0
484,201702,BINGOL,PRODUCT_X,0
485,201702,BITLIS,PRODUCT_A,7
486,201702,BITLIS,PRODUCT_B,108
487,201702,BITLIS,PRODUCT_C,66
488,201702,BITLIS,PRODUCT_V,0
489,201702,BITLIS,PRODUCT_X,45
490,201702,BOLU,PRODUCT_A,67
491,201702,BOLU,PRODUCT_B,1224
492,201702,BOLU,PRODUCT_C,119
493,201702,BOLU,PRODUCT_V,2
494,201702,BOLU,PRODUCT_X,100
495,201702,BURDUR,PRODUCT_A,44
496,201702,BURDUR,PRODUCT_B,691
497,201702,BURDUR,PRODUCT_C,137
498,201702,BURDUR,PRODUCT_V,0
499,201702,BURDUR,PRODUCT_X,75
500,201702,BURSA,PRODUCT_A,289
501,201702,BURSA,PRODUCT_B,5556
502,201702,BURSA,PRODUCT_C,1801
503,201702,BURSA,PRODUCT_V,402
504,201702,BURSA,PRODUCT_X,413
505,201702,BİLECİK,PRODUCT_A,-4
506,201702,BİLECİK,PRODUCT_B,576
507,201702,BİLECİK,PRODUCT_C,93
508,201702,BİLECİK,PRODUCT_V,2
509,201702,BİLECİK,PRODUCT_X,58
