geoName,Xalfu,Period
Yalova Province,,201707
Yozgat,,201707
Zonguldak,,201707
Çanakkale Province,,201707
Çankırı,,201707
Çorum Province,,201707
İstanbul,,201707
İzmir,,201707
Şanlıurfa Province,,201707
Şırnak,,201707
Adana,0.0,201708
Adıyaman Province,0.0,201708
Afyonkarahisar Province,0.0,201708
Aksaray,0.0,201708
Amasya Province,0.0,201708
Ankara,4.0,201708
Antalya,0.0,201708
Ardahan Province,0.0,201708
Artvin,0.0,201708
Aydın Province,0.0,201708
Ağrı,0.0,201708
Balıkesir Province,0.0,201708
Bartın Province,0.0,201708
Batman,0.0,201708
Bayburt,0.0,201708
Bilecik,0.0,201708
Bingöl Province,0.0,201708
Bitlis,0.0,201708
Bolu,0.0,201708
Burdur Province,0.0,201708
Bursa,0.0,201708
Denizli,0.0,201708
Diyarbakır,0.0,201708
Düzce Province,0.0,201708
Edirne,0.0,201708
Elazığ,0.0,201708
Erzincan,0.0,201708
Erzurum,0.0,201708
Eskişehir Province,0.0,201708
Gaziantep,0.0,201708
Giresun,0.0,201708
Gümüşhane,0.0,201708
Hakkâri,0.0,201708
Hatay,0.0,201708
Isparta Province,0.0,201708
Iğdır,0.0,201708
Kahramanmaraş Province,0.0,201708
Karabük,0.0,201708
Karaman,0.0,201708
Kars,0.0,201708
Kastamonu,0.0,201708
Kayseri Province,0.0,201708
Kilis,0.0,201708
Kocaeli,0.0,201708
Konya,0.0,201708
Kütahya,0.0,201708
Kırklareli,0.0,201708
Kırıkkale,0.0,201708
Kırşehir,0.0,201708
Malatya,0.0,201708
Manisa,0.0,201708
Mardin,0.0,201708
Mersin Province,0.0,201708
Muğla Province,0.0,201708
Muş,0.0,201708
Nevşehir,0.0,201708
Niğde,0.0,201708
Ordu,0.0,201708
Osmaniye,0.0,201708
Rize,0.0,201708
Sakarya,0.0,201708
Samsun,0.0,201708
Siirt Province,0.0,201708
Sinop Province,0.0,201708
Sivas,0.0,201708
Tekirdağ,0.0,201708
Tokat,0.0,201708
Trabzon,0.0,201708
Tunceli,0.0,201708
Uşak,0.0,201708
Van,0.0,201708
Yalova Province,0.0,201708
Yozgat,0.0,201708
Zonguldak,0.0,201708
Çanakkale Province,0.0,201708
Çankırı,0.0,201708
Çorum Province,0.0,201708
İstanbul,0.0,201708
İzmir,0.0,201708
Şanlıurfa Province,0.0,201708
Şırnak,0.0,201708
Adana,0.0,201709
Adıyaman Province,0.0,201709
Afyonkarahisar Province,0.0,201709
Aksaray,0.0,201709
Amasya Province,0.0,201709
Ankara,0.0,201709
Antalya,0.0,201709
Ardahan Province,0.0,201709
Artvin,0.0,201709
Aydın Province,0.0,201709
Ağrı,0.0,201709
Balıkesir Province,0.0,201709
Bartın Province,0.0,201709
Batman,0.0,201709
Bayburt,0.0,201709
Bilecik,0.0,201709
Bingöl Province,0.0,201709
Bitlis,0.0,201709
Bolu,0.0,201709
Burdur Province,0.0,201709
Bursa,0.0,201709
Denizli,0.0,201709
Diyarbakır,0.0,201709
Düzce Province,0.0,201709
Edirne,0.0,201709
Elazığ,0.0,201709
Erzincan,0.0,201709
Erzurum,0.0,201709
Eskişehir Province,0.0,201709
Gaziantep,0.0,201709
Giresun,0.0,201709
Gümüşhane,0.0,201709
Hakkâri,0.0,201709
Hatay,0.0,201709
Isparta Province,0.0,201709
Iğdır,0.0,201709
Kahramanmaraş Province,0.0,201709
Karabük,0.0,201709
Karaman,0.0,201709
Kars,0.0,201709
Kastamonu,0.0,201709
Kayseri Province,0.0,201709
Kilis,0.0,201709
Kocaeli,0.0,201709
Konya,0.0,201709
Kütahya,0.0,201709
Kırklareli,0.0,201709
Kırıkkale,0.0,201709
Kırşehir,0.0,201709
Malatya,0.0,201709
Manisa,0.0,201709
Mardin,0.0,201709
Mersin Province,0.0,201709
Muğla Province,0.0,201709
Muş,0.0,201709
Nevşehir,0.0,201709
Niğde,0.0,201709
Ordu,0.0,201709
Osmaniye,0.0,201709
Rize,0.0,201709
Sakarya,0.0,201709
Samsun,0.0,201709
Siirt Province,0.0,201709
Sinop Province,0.0,201709
Sivas,0.0,201709
Tekirdağ,0.0,201709
Tokat,0.0,201709
Trabzon,0.0,201709
Tunceli,0.0,201709
Uşak,0.0,201709
Van,0.0,201709
Yalova Province,0.0,201709
Yozgat,0.0,201709
Zonguldak,0.0,201709
Çanakkale Province,0.0,201709
Çankırı,0.0,201709
Çorum Province,0.0,201709
İstanbul,0.0,201709
İzmir,0.0,201709
Şanlıurfa Province,0.0,201709
Şırnak,0.0,201709
Adana,0.0,201710
Adıyaman Province,0.0,201710
Afyonkarahisar Province,0.0,201710
Aksaray,0.0,201710
Amasya Province,0.0,201710
Ankara,5.4945054945054945,201710
Antalya,0.0,201710
Ardahan Province,0.0,201710
Artvin,0.0,201710
Aydın Province,0.0,201710
Ağrı,0.0,201710
Balıkesir Province,0.0,201710
Bartın Province,0.0,201710
