geoName,mhrs,Period
Şanlıurfa Province,0.17687074829931973,201709
Şırnak,0.272108843537415,201709
Adana,0.33724340175953077,201710
Adıyaman Province,0.689149560117302,201710
Afyonkarahisar Province,0.45454545454545453,201710
Aksaray,0.5131964809384164,201710
Amasya Province,0.7184750733137829,201710
Ankara,0.5131964809384164,201710
Antalya,0.5571847507331378,201710
Ardahan Province,0.0,201710
Artvin,0.689149560117302,201710
Aydın Province,0.6158357771260997,201710
Ağrı,0.48387096774193544,201710
Balıkesir Province,0.8944281524926686,201710
Bartın Province,0.2785923753665689,201710
Batman,0.2346041055718475,201710
Bayburt,0.7184750733137829,201710
Bilecik,0.9090909090909091,201710
Bingöl Province,0.5131964809384164,201710
Bitlis,0.3225806451612903,201710
Bolu,0.7478005865102639,201710
Burdur Province,0.6451612903225806,201710
Bursa,0.7917888563049853,201710
Denizli,0.5278592375366569,201710
Diyarbakır,0.26392961876832843,201710
Düzce Province,0.7624633431085044,201710
Edirne,0.689149560117302,201710
Elazığ,0.29325513196480935,201710
Erzincan,0.6451612903225806,201710
Erzurum,0.24926686217008798,201710
Eskişehir Province,0.7331378299120235,201710
Gaziantep,0.24926686217008798,201710
Giresun,0.5425219941348973,201710
Gümüşhane,0.9237536656891495,201710
Hakkâri,0.30791788856304986,201710
Hatay,0.3225806451612903,201710
Isparta Province,0.4398826979472141,201710
Iğdır,0.1906158357771261,201710
Kahramanmaraş Province,0.3225806451612903,201710
Karabük,1.1143695014662756,201710
Karaman,0.9090909090909091,201710
Kars,0.45454545454545453,201710
Kastamonu,0.8357771260997067,201710
Kayseri Province,0.29325513196480935,201710
Kilis,0.33724340175953077,201710
Kocaeli,0.7478005865102639,201710
Konya,0.7478005865102639,201710
Kütahya,1.466275659824047,201710
Kırklareli,0.5425219941348973,201710
Kırıkkale,0.16129032258064516,201710
Kırşehir,0.30791788856304986,201710
Malatya,0.4105571847507331,201710
Manisa,0.469208211143695,201710
Mardin,0.36656891495601174,201710
Mersin Province,0.39589442815249265,201710
Muğla Province,0.6598240469208211,201710
Muş,0.24926686217008798,201710
Nevşehir,0.3225806451612903,201710
Niğde,0.3225806451612903,201710
Ordu,0.5278592375366569,201710
Osmaniye,0.3225806451612903,201710
Rize,0.9970674486803519,201710
Sakarya,0.9970674486803519,201710
Samsun,0.8064516129032258,201710
Siirt Province,0.45454545454545453,201710
Sinop Province,0.7038123167155425,201710
Sivas,0.5865102639296187,201710
Tekirdağ,0.42521994134897356,201710
Tokat,0.5718475073313782,201710
Trabzon,0.49853372434017595,201710
Tunceli,0.48387096774193544,201710
