geoName,grip,Period
Isparta Province,0.8297872340425532,201809
Iğdır,0.0,201809
Kahramanmaraş Province,0.46808510638297873,201809
Karabük,0.9361702127659575,201809
Karaman,0.9361702127659575,201809
Kars,1.4042553191489362,201809
Kastamonu,0.851063829787234,201809
Kayseri Province,0.5106382978723404,201809
Kilis,0.0,201809
Kocaeli,0.5319148936170213,201809
Konya,0.7872340425531915,201809
Kütahya,0.6382978723404256,201809
Kırklareli,0.6382978723404256,201809
Kırıkkale,1.0212765957446808,201809
Kırşehir,0.7659574468085106,201809
Malatya,1.0,201809
Manisa,0.574468085106383,201809
Mardin,1.2765957446808511,201809
Mersin Province,0.7659574468085106,201809
Muğla Province,0.7021276595744681,201809
Muş,0.9148936170212766,201809
Nevşehir,0.9787234042553191,201809
Niğde,0.574468085106383,201809
Ordu,0.5957446808510638,201809
Osmaniye,0.5957446808510638,201809
Rize,1.0638297872340425,201809
Sakarya,0.6382978723404256,201809
Samsun,0.8085106382978723,201809
Siirt Province,0.8085106382978723,201809
Sinop Province,1.851063829787234,201809
Sivas,0.7446808510638298,201809
Tekirdağ,0.6808510638297872,201809
Tokat,0.9361702127659575,201809
Trabzon,0.44680851063829785,201809
Tunceli,0.0,201809
Uşak,0.9787234042553191,201809
Van,0.8085106382978723,201809
Yalova Province,0.9361702127659575,201809
Yozgat,1.425531914893617,201809
Zonguldak,1.0638297872340425,201809
Çanakkale Province,0.6595744680851063,201809
Çankırı,1.4893617021276595,201809
Çorum Province,1.0425531914893618,201809
İstanbul,0.7659574468085106,201809
İzmir,0.7021276595744681,201809
Şanlıurfa Province,0.425531914893617,201809
Şırnak,0.5106382978723404,201809
Adana,0.8465608465608465,201810
Adıyaman Province,0.5714285714285714,201810
Afyonkarahisar Province,0.7195767195767195,201810
Aksaray,0.6349206349206349,201810
Amasya Province,0.8253968253968254,201810
Ankara,0.91005291005291,201810
Antalya,0.6772486772486772,201810
Ardahan Province,0.0,201810
Artvin,0.6984126984126984,201810
Aydın Province,0.5291005291005291,201810
Ağrı,0.7619047619047619,201810
Balıkesir Province,0.9947089947089947,201810
Bartın Province,0.8465608465608465,201810
Batman,0.2751322751322751,201810
Bayburt,1.312169312169312,201810
Bilecik,0.8888888888888888,201810
Bingöl Province,1.3333333333333333,201810
Bitlis,0.0,201810
Bolu,0.6984126984126984,201810
Burdur Province,2.1164021164021163,201810
Bursa,1.0582010582010581,201810
Denizli,1.1428571428571428,201810
Diyarbakır,0.5502645502645502,201810
Düzce Province,0.8888888888888888,201810
Edirne,1.0158730158730158,201810
Elazığ,0.6772486772486772,201810
Erzincan,0.9947089947089947,201810
Erzurum,0.8465608465608465,201810
Eskişehir Province,1.1851851851851851,201810
Gaziantep,0.91005291005291,201810
Giresun,1.2063492063492063,201810
Gümüşhane,1.6296296296296295,201810
Hakkâri,1.3756613756613756,201810
Hatay,1.164021164021164,201810
Isparta Province,1.164021164021164,201810
Iğdır,1.0793650793650793,201810
Kahramanmaraş Province,0.9947089947089947,201810
Karabük,0.8465608465608465,201810
Karaman,0.7407407407407407,201810
Kars,0.8253968253968254,201810
Kastamonu,1.1428571428571428,201810
Kayseri Province,0.9947089947089947,201810
Kilis,1.1428571428571428,201810
Kocaeli,0.6349206349206349,201810
Konya,0.8888888888888888,201810
Kütahya,0.8465608465608465,201810
Kırklareli,1.0158730158730158,201810
Kırıkkale,0.8465608465608465,201810
Kırşehir,1.6507936507936507,201810
Malatya,0.91005291005291,201810
Manisa,0.8888888888888888,201810
Mardin,0.5079365079365079,201810
Mersin Province,0.8253968253968254,201810
Muğla Province,0.7407407407407407,201810
Muş,0.8253968253968254,201810
Nevşehir,1.1005291005291005,201810
Niğde,0.6349206349206349,201810
Ordu,0.9523809523809523,201810
Osmaniye,0.8677248677248677,201810
Rize,0.7195767195767195,201810
Sakarya,0.7195767195767195,201810
Samsun,0.9312169312169312,201810
Siirt Province,1.1428571428571428,201810
Sinop Province,0.91005291005291,201810
Sivas,1.0158730158730158,201810
Tekirdağ,0.8465608465608465,201810
Tokat,1.164021164021164,201810
Trabzon,0.8677248677248677,201810
Tunceli,1.9047619047619047,201810
Uşak,1.6296296296296295,201810
Van,0.8253968253968254,201810
Yalova Province,0.6137566137566137,201810
Yozgat,1.2275132275132274,201810
Zonguldak,0.9523809523809523,201810
Çanakkale Province,0.9312169312169312,201810
Çankırı,1.0793650793650793,201810
Çorum Province,0.8253968253968254,201810
İstanbul,0.8888888888888888,201810
İzmir,0.8465608465608465,201810
