,Location,Date,polarity
314,"Aydın,Turkey",2019-06-10 15:43:39+00:00,-1.0
315,"Aydın,Turkey",2019-09-29 05:13:44+00:00,0.0
316,"Ağrı,Turkey",2020-03-31 23:47:08+00:00,1.0
317,"Ağrı,Turkey",2020-03-31 23:47:21+00:00,-1.0
318,"Ağrı,Turkey",2020-03-31 23:47:41+00:00,-1.0
319,"Ağrı,Turkey",2020-03-31 23:47:50+00:00,-3.0
320,"Ağrı,Turkey",2020-03-31 23:48:20+00:00,-1.0
321,"Ağrı,Turkey",2020-03-31 23:48:32+00:00,1.0
322,"Ağrı,Turkey",2020-03-31 23:48:47+00:00,-1.0
323,"Ağrı,Turkey",2020-03-31 23:49:12+00:00,-1.0
324,"Ağrı,Turkey",2020-03-31 23:49:21+00:00,0.0
325,"Ağrı,Turkey",2020-03-31 23:49:23+00:00,1.0
326,"Ağrı,Turkey",2020-03-31 23:50:11+00:00,-1.0
327,"Ağrı,Turkey",2020-03-31 23:50:12+00:00,2.0
328,"Ağrı,Turkey",2020-03-31 23:50:33+00:00,1.0
329,"Ağrı,Turkey",2020-03-31 23:51:17+00:00,1.0
330,"Ağrı,Turkey",2020-03-31 23:51:21+00:00,-1.0
331,"Ağrı,Turkey",2020-03-31 23:51:38+00:00,-1.0
332,"Ağrı,Turkey",2020-03-31 23:52:01+00:00,-1.5
333,"Ağrı,Turkey",2020-03-31 23:52:08+00:00,-1.0
334,"Ağrı,Turkey",2020-03-31 23:53:13+00:00,-1.0
335,"Ağrı,Turkey",2020-03-31 23:53:21+00:00,-1.0
336,"Ağrı,Turkey",2020-03-31 23:53:36+00:00,0.0
337,"Ağrı,Turkey",2020-03-31 23:53:55+00:00,0.0
338,"Ağrı,Turkey",2020-03-31 23:53:58+00:00,1.0
339,"Ağrı,Turkey",2020-03-31 23:54:26+00:00,1.0
340,"Ağrı,Turkey",2020-03-31 23:54:30+00:00,1.0
341,"Ağrı,Turkey",2020-03-31 23:54:54+00:00,1.0
342,"Ağrı,Turkey",2020-03-31 23:55:11+00:00,-1.0
343,"Ağrı,Turkey",2020-03-31 23:55:27+00:00,-1.0
344,"Ağrı,Turkey",2020-03-31 23:56:21+00:00,-1.0
