||Erkek ve 0-4|Erkek ve 10-14|Erkek ve 15-19|Erkek ve 20-24|Erkek ve 25-29|Erkek ve 30-34|Erkek ve 35-39|Erkek ve 40-44|Erkek ve 45-49|Erkek ve 50-54|Erkek ve 55-59|Erkek ve 5-9|Erkek ve 60-64|Erkek ve 65-69|Erkek ve 70-74|Erkek ve 75-79|Erkek ve 80-84|Erkek ve 85-89|Erkek ve 90+|Kadın ve 0-4|Kadın ve 10-14|Kadın ve 15-19|Kadın ve 20-24|Kadın ve 25-29|Kadın ve 30-34|Kadın ve 35-39|Kadın ve 40-44|Kadın ve 45-49|Kadın ve 50-54|Kadın ve 55-59|Kadın ve 5-9|Kadın ve 60-64|Kadın ve 65-69|Kadın ve 70-74|Kadın ve 75-79|Kadın ve 80-84|Kadın ve 85-89|Kadın ve 90+|
|Kahramanmaraş-46|55541.0|55809.0|54655.0|41483.0|39217.0|43068.0|45113.0|37628.0|32141.0|28360.0|22456.0|56822.0|20288.0|14400.0|10744.0|7361.0|4266.0|2135.0|624.0|52304.0|52564.0|50680.0|41954.0|40179.0|41870.0|42774.0|35538.0|30954.0|26501.0|21099.0|54100.0|19454.0|15281.0|11403.0|8705.0|5304.0|3151.0|1697.0|
|Karabük-78|6620.0|7261.0|11109.0|13719.0|9621.0|8250.0|8527.0|8285.0|8064.0|7555.0|6982.0|6904.0|6471.0|5191.0|3656.0|2372.0|1605.0|642.0|165.0|6086.0|6842.0|10044.0|12823.0|7364.0|7572.0|8366.0|8461.0|8114.0|7857.0|7439.0|6641.0|6919.0|5545.0|4216.0|3287.0|2129.0|1305.0|444.0|
|Karaman-70|9603.0|9655.0|10462.0|9654.0|8936.0|9628.0|9448.0|8432.0|8098.0|7165.0|6061.0|9501.0|5208.0|4040.0|2708.0|2214.0|1541.0|792.0|224.0|9065.0|9139.0|10399.0|10319.0|8451.0|8829.0|8846.0|8289.0|7932.0|7281.0|6170.0|9023.0|5517.0|4522.0|3371.0|2713.0|1948.0|1114.0|374.0|
|Kars-36|13860.0|13453.0|14474.0|17255.0|12496.0|10239.0|10354.0|8794.0|7368.0|6946.0|5619.0|13849.0|4686.0|3481.0|2900.0|1674.0|1144.0|692.0|197.0|13044.0|13005.0|13555.0|12802.0|10909.0|9230.0|9784.0|7731.0|6163.0|6539.0|5305.0|13241.0|4686.0|3971.0|3252.0|2309.0|1361.0|955.0|331.0|
|Kastamonu-37|10141.0|11217.0|13439.0|14759.0|12247.0|12497.0|13272.0|11617.0|10738.0|11609.0|12176.0|10727.0|12124.0|9943.0|7014.0|5446.0|3309.0|1596.0|418.0|9493.0|10836.0|13021.0|14240.0|11300.0|12021.0|12681.0|11546.0|10740.0|11723.0|12308.0|10137.0|13045.0|11055.0|8367.0|7192.0|4419.0|2941.0|1019.0|
|Kayseri-38|57290.0|58574.0|58956.0|54183.0|49687.0|54092.0|56510.0|49626.0|42882.0|38554.0|32802.0|59482.0|27659.0|19602.0|13009.0|8683.0|5167.0|2322.0|515.0|54539.0|55785.0|56284.0|53993.0|50323.0|53612.0|55257.0|48053.0|41873.0|38297.0|32777.0|55846.0|27617.0|21586.0|16241.0|11904.0|7339.0|4225.0|1576.0|
|Kilis-79|7110.0|6600.0|6404.0|7104.0|5766.0|4822.0|4590.0|3993.0|3602.0|3436.0|2635.0|6429.0|2130.0|1718.0|1204.0|873.0|569.0|292.0|75.0|6702.0|6091.0|6656.0|6616.0|4655.0|4355.0|4459.0|3793.0|3379.0|3275.0|2554.0|6036.0|2171.0|2026.0|1519.0|1173.0|767.0|511.0|229.0|
|Kırıkkale-71|8928.0|9616.0|12444.0|12440.0|10121.0|9857.0|9873.0|9068.0|9494.0|9723.0|8201.0|9096.0|7074.0|5316.0|3666.0|2442.0|1397.0|663.0|183.0|8226.0|9316.0|12496.0|12183.0|9039.0|9163.0|9471.0|9199.0|9224.0|9238.0|8089.0|8578.0|7268.0|6312.0|4480.0|3321.0|2026.0|1111.0|407.0|
|Kırklareli-39|9564.0|9687.0|11427.0|17069.0|14520.0|13409.0|14503.0|13333.0|12785.0|12274.0|12607.0|9260.0|11178.0|7920.0|4996.0|3510.0|2383.0|1210.0|310.0|8961.0|9105.0|11600.0|13062.0|11287.0|11791.0|13512.0|12674.0|12203.0|12183.0|12433.0|8704.0|11123.0|8227.0|5979.0|4724.0|3753.0|2086.0|698.0|
|Kırşehir-40|7849.0|8244.0|9744.0|9585.0|9105.0|8393.0|8611.0|7879.0|7757.0|7861.0|6895.0|8013.0|6014.0|4269.0|2770.0|1933.0|1264.0|581.0|202.0|7584.0|7928.0|9524.0|9813.0|7717.0|7807.0|8057.0|7808.0|7428.0|7800.0|7103.0|7669.0|6284.0|4986.0|3858.0|2892.0|1862.0|1038.0|402.0|
