Province,GDP by City,life_expectancy,population,pop_growth,pop_density,year,pop_infants_and_toddlers,80+_male,65+_male,50+_male
GAZIANTEP,0.05728566081495275,0.17391304347826164,0.129878582224758,0.8365508365508365,0.09822978132592851,2018,0.19642687134001846,0.08729267813543626,0.09598592794180871,0.09121039340402877
GIRESUN,0.007707159105655946,0.7826086956521756,0.024799922591580502,0.6325611325611326,0.018396390142311696,2018,0.016160609034777507,0.09190918530575591,0.058315674151540875,0.044830236471390304
GUMUSHANE,0.0019143255955015954,0.804347826086957,0.005370142371433623,0.6653796653796653,0.005206525511975009,2018,0.004471171072925268,0.017175090505991635,0.009894961513531917,0.008201556048647585
HAKKARI,0.0035362237488369983,0.2173913043478244,0.013626284162304101,0.9234234234234233,0.009371745921555015,2018,0.01924265320641647,0.0003507984171975415,0.00032299389148714684,0.002769812554100395
HATAY,0.040898463901551683,0.3913043478260896,0.10193767954916269,0.8178893178893178,0.08989934050676848,2018,0.1283509981807198,0.14019307944882553,0.1062540783434778,0.10052779004833608
ISPARTA,0.01130433667789194,0.5652173913043477,0.0239657801400692,0.8326898326898327,0.014231169732731691,2018,0.01854679150633286,0.05831672887491931,0.04441384247064138,0.03348926163014863
ICEL,0.05560548879431259,0.4565217391304337,0.11559172397225309,0.8082368082368082,0.03644567858382506,2018,0.11828091002092778,0.16058148345634665,0.1510171033995107,0.13446006848248232
ISTANBUL,0.9999999999999999,0.5652173913043477,1.0,0.8326898326898327,0.9999999999999999,2018,0.9935598172757187,0.9495130917969299,0.9270819466056179,0.9436347294533401
IZMIR,0.20057561137751648,0.5434782608695627,0.28282400595244056,0.8204633204633204,0.1197500867754252,2018,0.2328470956429018,0.4616647489686526,0.44285736109625873,0.36920854473448356
KARS,0.0037563045186547158,0.2608695652173907,0.013786973364163237,0.6879021879021878,0.005900728913571676,2018,0.018657575458584978,0.019953413970196163,0.014456159035208518,0.01199337134511137
KASTAMONU,0.008794212610356645,0.2826086956521756,0.020092756640608056,0.657014157014157,0.005900728913571676,2018,0.012851803960872491,0.06778828613925295,0.05553967259767836,0.0369772210207005
KAYSERI,0.04334321525368147,0.3913043478260896,0.08724502767684655,0.8191763191763192,0.024297119055883373,2018,0.09140887760277375,0.10925265905200236,0.10533965644798379,0.0920651477275919
KIRKLARELI,0.012479480946519971,0.3478260869565233,0.018590432719738148,0.8146718146718146,0.01596667823672336,2018,0.012211334236914943,0.04672634917071254,0.038447185042763954,0.031142038592253462
KIRSEHIR,0.004394535628847153,0.5217391304347814,0.010649930432519545,0.8616473616473617,0.009024644220756682,2018,0.009528285393308996,0.020346308197457412,0.017400204708290685,0.015549634479219067
KOCAELI,0.12829254158574602,0.43478260869565233,0.12172587409787496,0.9176319176319176,0.17702186740715029,2018,0.13202417859757903,0.12028176128869306,0.12376122021854463,0.11931451128990661
KONYA,0.066366169058548,0.4782608695652151,0.14169310898237958,0.7915057915057915,0.015619576535925024,2018,0.1494189901004153,0.2098055173575057,0.18504931112823075,0.15336424662885917
KUTAHYA,0.015035433997866115,0.15217391304347672,0.03307655092106009,0.7200772200772201,0.012842762929538355,2018,0.02472126584513442,0.07452361574944574,0.06309947557140456,0.048546087791376105
MALATYA,0.01546764500108865,0.6304347826086953,0.04769706615416954,0.7799227799227799,0.019437695244706697,2018,0.04721040815231409,0.08190441444728201,0.06762575483454202,0.05488748394542849
MANISA,0.05306624513911905,0.2173913043478244,0.08991181446002623,0.8095238095238095,0.03366886497743839,2018,0.07952989522261517,0.15843459714309768,0.14248613636016438,0.11980093608046308
KAHRAMANMARAS,0.024779920010752018,0.6739130434782616,0.07090724669596175,0.8217503217503217,0.023602915654286703,2018,0.08806199054528208,0.09359301770830411,0.08255985753350516,0.06766730587054717
MARDIN,0.014472584241696501,0.804347826086957,0.049843081122021696,0.8436293436293436,0.028115237764665048,2018,0.08248471094908957,0.053587966211096454,0.033135244962495605,0.027617693095321385
MUGLA,0.03491181926240108,0.9130434782608674,0.059071499354373745,0.8391248391248392,0.0215203054494967,2018,0.045411034427844166,0.1373165324278057,0.11080218151820223,0.08831610206494346
MUS,0.0049309214690609685,0.304347826086957,0.021735616881708594,0.7046332046332046,0.013536966331135021,2018,0.038538101890078086,0.00952768501108523,0.009988804333355883,0.011185216771824644
NEVSEHIR,0.005842994656001026,0.36956521739130466,0.014418319102863111,0.7676962676962676,0.014925373134328358,2018,0.01375278907254791,0.028737406336822605,0.02448861119173834,0.019171647945908542
NIGDE,0.007260806780712854,0.32608695652173836,0.018847148400615264,0.7586872586872586,0.012842762929538355,2018,0.020191240797575217,0.029312715741026577,0.02553397655675417,0.021079045943523656
ORDU,0.015130984406572257,0.695652173913043,0.046021841185950374,0.6647361647361647,0.039569593891010064,2018,0.03617615340807788,0.12221816855162351,0.09440587674291213,0.07194363089933688
RIZE,0.00939456874234996,0.6304347826086953,0.017772839654464828,0.7355212355212355,0.025338424158278375,2018,0.014062637939003048,0.034322117138607465,0.03015409863971559,0.02700806622526702
SAKARYA,0.03582919858894778,0.304347826086957,0.061955163174946364,0.8223938223938223,0.06733772995487679,2018,0.060660272355422616,0.08805040271658295,0.08469423608671076,0.0738254947872115
SAMSUN,0.03362437355852837,0.43478260869565233,0.08364393461657808,0.8198198198198198,0.046511627906976744,2018,0.07151969617501094,0.14349058457048242,0.1361331956971976,0.11163640449093923
SIIRT,0.003706815530080866,0.5,0.016642543266968964,0.7754182754182753,0.01666088163832003,2018,0.029977445079721173,0.008629641063059522,0.006071412203494881,0.0066152494810192185
SINOP,0.0028511402411796043,0.5,0.009172830979383335,0.7960102960102959,0.008677542519958349,2018,0.006132930356707016,0.04192742682345017,0.032109521117908046,0.0199300110052013
SIVAS,0.015089792006994349,0.41304347826087096,0.0376587956984942,0.7361647361647361,0.003818118708781673,2018,0.033647163498072535,0.08353211910307862,0.07211493344798162,0.051058005837097485
TEKIRDAG,0.0486116897686572,0.32608695652173836,0.06323820772816299,0.9472329472329472,0.05137105171815342,2018,0.06262409100901678,0.08029074172817333,0.07701003681693884,0.07137102848840624
TOKAT,0.01025602371649782,0.304347826086957,0.035392464023436064,0.7290862290862291,0.017007983339118363,2018,0.02822048083697276,0.07884545224931945,0.07073566223568514,0.052080008579460865
TRABZON,0.022998074445475195,0.8478260869565197,0.04842223623581541,0.7927927927927928,0.054842068726136756,2018,0.041246250222866154,0.09978110178766873,0.08056078723213876,0.06668615770376858
TUNCELI,0.0009008321154392841,1.0,0.0003953167906202348,0.7593307593307593,0.0,2018,0.0002042579119648398,0.012937445626245334,0.0037777190957044,0.0021397583962536352
SANLIURFA,0.026289271283025703,0.3478260869565233,0.13036211792105007,0.8835263835263835,0.03297466157584172,2018,0.2577033794298435,0.06185277692027053,0.06376074009248973,0.06441681370058193
USAK,0.009980537239505968,0.43478260869565233,0.019034463429526638,0.8462033462033461,0.019784796945505036,2018,0.015601496275755106,0.04321836499873712,0.033611006235091535,0.026913590019227187
VAN,0.013591452839098826,0.19565217391304301,0.06950141637388267,0.7747747747747747,0.01596667823672336,2018,0.11231588659185288,0.03147363399096343,0.033050131707306425,0.036391213202156096
YOZGAT,0.007672895563436241,0.304347826086957,0.022869316570406625,0.6988416988416988,0.006594932315168344,2018,0.020221533284519155,0.04870485224370667,0.044047200755980294,0.032533009220367025
ZONGULDAK,0.015575061804384222,0.36956521739130466,0.0345284259064626,0.7284427284427284,0.05900728913571677,2018,0.023718151777476583,0.05942525187326355,0.06132737395054265,0.05099544726823327
AKSARAY,0.009176965847794778,0.4782608695652151,0.02201455411749397,0.8275418275418275,0.014578271433530023,2018,0.02538164206051227,0.027404372351471945,0.027004908197715907,0.0219140113320379
BAYBURT,0.0,0.6521739130434767,0.0,0.0,0.003818118708781673,2018,0.0009001196120484471,0.0030870260713383654,0.0010388181915397428,0.000594306404210064
KARAMAN,0.006767702665070803,0.5652173913043477,0.011320247306554026,0.7631917631917632,0.005900728913571676,2018,0.012033041313759194,0.02792355400892431,0.018105117052549795,0.013951199209463964
KIRIKKALE,0.007185584142536391,0.36956521739130466,0.013635092706592062,0.7528957528957528,0.017355085039916694,2018,0.010957225277435905,0.024331378216821485,0.023596013207831293,0.020215993034294864
