Period,Province,Product,Quantity,Month,Year
201701,MALATYA,PRODUCT_X,247,1,2017
201701,MANİSA,PRODUCT_A,335,1,2017
201701,MANİSA,PRODUCT_B,8422,1,2017
201701,MANİSA,PRODUCT_C,928,1,2017
201701,MANİSA,PRODUCT_V,641,1,2017
201701,MANİSA,PRODUCT_X,544,1,2017
201701,MARDIN,PRODUCT_A,63,1,2017
201701,MARDIN,PRODUCT_B,838,1,2017
201701,MARDIN,PRODUCT_C,324,1,2017
201701,MARDIN,PRODUCT_V,0,1,2017
201701,MARDIN,PRODUCT_X,240,1,2017
201701,MUĞLA,PRODUCT_A,159,1,2017
201701,MUĞLA,PRODUCT_B,1431,1,2017
201701,MUĞLA,PRODUCT_C,623,1,2017
201701,MUĞLA,PRODUCT_V,47,1,2017
201701,MUĞLA,PRODUCT_X,378,1,2017
201701,MUŞ,PRODUCT_A,7,1,2017
201701,MUŞ,PRODUCT_B,26,1,2017
201701,MUŞ,PRODUCT_C,137,1,2017
201701,MUŞ,PRODUCT_V,0,1,2017
201701,MUŞ,PRODUCT_X,111,1,2017
201701,NEVŞEHİR,PRODUCT_A,13,1,2017
201701,NEVŞEHİR,PRODUCT_B,169,1,2017
201701,NEVŞEHİR,PRODUCT_C,124,1,2017
201701,NEVŞEHİR,PRODUCT_V,0,1,2017
201701,NEVŞEHİR,PRODUCT_X,78,1,2017
201701,NİĞDE,PRODUCT_A,20,1,2017
201701,NİĞDE,PRODUCT_B,571,1,2017
201701,NİĞDE,PRODUCT_C,152,1,2017
201701,NİĞDE,PRODUCT_V,0,1,2017
201701,NİĞDE,PRODUCT_X,32,1,2017
201701,ORDU,PRODUCT_A,190,1,2017
201701,ORDU,PRODUCT_B,1683,1,2017
201701,ORDU,PRODUCT_C,349,1,2017
201701,ORDU,PRODUCT_V,0,1,2017
201701,ORDU,PRODUCT_X,83,1,2017
201701,OSMANİYE,PRODUCT_A,91,1,2017
201701,OSMANİYE,PRODUCT_B,1285,1,2017
201701,OSMANİYE,PRODUCT_C,433,1,2017
201701,OSMANİYE,PRODUCT_V,0,1,2017
201701,OSMANİYE,PRODUCT_X,176,1,2017
201701,RİZE,PRODUCT_A,33,1,2017
201701,RİZE,PRODUCT_B,74,1,2017
201701,RİZE,PRODUCT_C,241,1,2017
201701,RİZE,PRODUCT_V,4,1,2017
201701,RİZE,PRODUCT_X,86,1,2017
